"","0","1","2","3","4","5","6","7","8","9"
"0",501209,0,0,0,0,0,0,0,0,0
"1",0,422498,0,0,0,0,0,0,0,0
"2",0,0,47622,0,0,0,0,0,0,0
"3",0,0,0,21121,0,0,0,0,0,0
"4",0,0,0,0,3885,0,0,0,0,0
"5",0,0,0,0,0,1996,0,0,0,0
"6",0,0,0,0,0,0,1424,0,0,0
"7",0,0,0,0,0,0,0,230,0,0
"8",0,0,0,0,0,0,0,0,12,0
"9",0,0,0,0,0,0,0,0,0,3
